timestamp,long_account,short_account,long_short_ratio
1690233600000,0.6791,0.3209,2.1162
1690233900000,0.6807,0.3193,2.1319
1690234200000,0.6812,0.3188,2.1368
1690234500000,0.6813,0.3187,2.1377
1690234800000,0.6833,0.3167,2.1576
1690235100000,0.6833,0.3167,2.1576
1690235400000,0.6831,0.3169,2.1556
1690235700000,0.6828,0.3172,2.1526
1690236000000,0.683,0.317,2.1546
1690236300000,0.6837,0.3163,2.1616
1690236600000,0.6839,0.3161,2.1636
1690236900000,0.6843,0.3157,2.1676
1690237200000,0.6841,0.3159,2.1656
1690237500000,0.6837,0.3163,2.1616
1690237800000,0.6833,0.3167,2.1576
1690238100000,0.6833,0.3167,2.1576
1690238400000,0.6833,0.3167,2.1576
1690238700000,0.6832,0.3168,2.1566
1690239000000,0.6828,0.3172,2.1526
1690239300000,0.6827,0.3173,2.1516
1690239600000,0.6826,0.3174,2.1506
1690239900000,0.6827,0.3173,2.1516
1690240200000,0.6828,0.3172,2.1526
1690240500000,0.683,0.317,2.1546
1690240800000,0.6831,0.3169,2.1556
1690241100000,0.6838,0.3162,2.1626
1690241400000,0.6839,0.3161,2.1636
1690241700000,0.6836,0.3164,2.1606
1690242000000,0.6835,0.3165,2.1596
1690242300000,0.6835,0.3165,2.1596
1690242600000,0.6833,0.3167,2.1576
1690242900000,0.6833,0.3167,2.1576
1690243200000,0.6831,0.3169,2.1556
1690243500000,0.6825,0.3175,2.1496
1690243800000,0.6817,0.3183,2.1417
1690244100000,0.6812,0.3188,2.1368
1690244400000,0.681,0.319,2.1348
1690244700000,0.6808,0.3192,2.1328
1690245000000,0.6812,0.3188,2.1368
1690245300000,0.6813,0.3187,2.1377
1690245600000,0.6803,0.3197,2.1279
1690245900000,0.6796,0.3204,2.1211
1690246200000,0.6793,0.3207,2.1182
1690246500000,0.6786,0.3214,2.1114
1690246800000,0.6778,0.3222,2.1037
1690247100000,0.6773,0.3227,2.0989
1690247400000,0.6764,0.3236,2.0902
1690247700000,0.6761,0.3239,2.0874
1690248000000,0.676,0.324,2.0864
1690248300000,0.6761,0.3239,2.0874
1690248600000,0.6748,0.3252,2.075
1690248900000,0.6747,0.3253,2.0741
1690249200000,0.6749,0.3251,2.076
1690249500000,0.675,0.325,2.0769
1690249800000,0.6755,0.3245,2.0817
1690250100000,0.6761,0.3239,2.0874
1690250400000,0.6762,0.3238,2.0883
1690250700000,0.6767,0.3233,2.0931
1690251000000,0.6768,0.3232,2.0941
1690251300000,0.6772,0.3228,2.0979
1690251600000,0.6775,0.3225,2.1008
1690251900000,0.6778,0.3222,2.1037
1690252200000,0.6786,0.3214,2.1114
1690252500000,0.6792,0.3208,2.1172
1690252800000,0.6798,0.3202,2.123
1690253100000,0.68,0.32,2.125
1690253400000,0.6799,0.3201,2.124
1690253700000,0.6794,0.3206,2.1192
1690254000000,0.6793,0.3207,2.1182
1690254300000,0.6793,0.3207,2.1182
1690254600000,0.6796,0.3204,2.1211
1690254900000,0.6794,0.3206,2.1192
1690255200000,0.6792,0.3208,2.1172
1690255500000,0.6789,0.3211,2.1143
1690255800000,0.6778,0.3222,2.1037
1690256100000,0.6776,0.3224,2.1017
1690256400000,0.6774,0.3226,2.0998
1690256700000,0.6775,0.3225,2.1008
1690257000000,0.6776,0.3224,2.1017
1690257300000,0.6776,0.3224,2.1017
1690257600000,0.6777,0.3223,2.1027
1690257900000,0.6778,0.3222,2.1037
1690258200000,0.6781,0.3219,2.1066
1690258500000,0.6782,0.3218,2.1075
1690258800000,0.678,0.322,2.1056
1690259100000,0.6778,0.3222,2.1037
1690259400000,0.677,0.323,2.096
1690259700000,0.6771,0.3229,2.0969
1690260000000,0.6766,0.3234,2.0921
1690260300000,0.6762,0.3238,2.0883
1690260600000,0.6759,0.3241,2.0855
1690260900000,0.676,0.324,2.0864
1690261200000,0.676,0.324,2.0864
1690261500000,0.6765,0.3235,2.0912
1690261800000,0.6765,0.3235,2.0912
1690262100000,0.6767,0.3233,2.0931
1690262400000,0.6768,0.3232,2.0941
1690262700000,0.677,0.323,2.096
1690263000000,0.6772,0.3228,2.0979
1690263300000,0.678,0.322,2.1056
1690263600000,0.6781,0.3219,2.1066
1690263900000,0.6779,0.3221,2.1046
1690264200000,0.678,0.322,2.1056
1690264500000,0.6774,0.3226,2.0998
1690264800000,0.6774,0.3226,2.0998
1690265100000,0.6774,0.3226,2.0998
1690265400000,0.6771,0.3229,2.0969
1690265700000,0.6773,0.3227,2.0989
1690266000000,0.6771,0.3229,2.0969
1690266300000,0.6768,0.3232,2.0941
1690266600000,0.6769,0.3231,2.095
1690266900000,0.6767,0.3233,2.0931
1690267200000,0.6767,0.3233,2.0931
1690267500000,0.6768,0.3232,2.0941
1690267800000,0.6765,0.3235,2.0912
1690268100000,0.6764,0.3236,2.0902
1690268400000,0.6765,0.3235,2.0912
1690268700000,0.677,0.323,2.096
1690269000000,0.6768,0.3232,2.0941
1690269300000,0.6766,0.3234,2.0921
1690269600000,0.6761,0.3239,2.0874
1690269900000,0.6759,0.3241,2.0855
1690270200000,0.6759,0.3241,2.0855
1690270500000,0.676,0.324,2.0864
1690270800000,0.6759,0.3241,2.0855
1690271100000,0.6759,0.3241,2.0855
1690271400000,0.6753,0.3247,2.0798
1690271700000,0.675,0.325,2.0769
1690272000000,0.675,0.325,2.0769
1690272300000,0.6752,0.3248,2.0788
1690272600000,0.6749,0.3251,2.076
1690272900000,0.6747,0.3253,2.0741
1690273200000,0.6743,0.3257,2.0703
1690273500000,0.6741,0.3259,2.0684
1690273800000,0.674,0.326,2.0675
1690274100000,0.674,0.326,2.0675
1690274400000,0.6743,0.3257,2.0703
1690274700000,0.6751,0.3249,2.0779
1690275000000,0.6752,0.3248,2.0788
1690275300000,0.6758,0.3242,2.0845
1690275600000,0.676,0.324,2.0864
1690275900000,0.6764,0.3236,2.0902
1690276200000,0.6762,0.3238,2.0883
1690276500000,0.6759,0.3241,2.0855
1690276800000,0.6756,0.3244,2.0826
1690277100000,0.6758,0.3242,2.0845
1690277400000,0.6766,0.3234,2.0921
1690277700000,0.6769,0.3231,2.095
1690278000000,0.6823,0.3177,2.1476
1690278300000,0.6826,0.3174,2.1506
1690278600000,0.6823,0.3177,2.1476
1690278900000,0.6818,0.3182,2.1427
1690279200000,0.6811,0.3189,2.1358
1690279500000,0.6793,0.3207,2.1182
1690279800000,0.6791,0.3209,2.1162
1690280100000,0.6793,0.3207,2.1182
1690280400000,0.6785,0.3215,2.1104
1690280700000,0.6787,0.3213,2.1124
1690281000000,0.6783,0.3217,2.1085
1690281300000,0.6781,0.3219,2.1066
1690281600000,0.6778,0.3222,2.1037
1690281900000,0.6774,0.3226,2.0998
1690282200000,0.6769,0.3231,2.095
1690282500000,0.6763,0.3237,2.0893
1690282800000,0.676,0.324,2.0864
1690283100000,0.6753,0.3247,2.0798
1690283400000,0.6749,0.3251,2.076
1690283700000,0.6745,0.3255,2.0722
1690284000000,0.6743,0.3257,2.0703
1690284300000,0.674,0.326,2.0675
1690284600000,0.6738,0.3262,2.0656
1690284900000,0.6743,0.3257,2.0703
1690285200000,0.6742,0.3258,2.0694
1690285500000,0.6731,0.3269,2.059
1690285800000,0.6724,0.3276,2.0525
1690286100000,0.6724,0.3276,2.0525
1690286400000,0.672,0.328,2.0488
1690286700000,0.6722,0.3278,2.0506
1690287000000,0.6721,0.3279,2.0497
1690287300000,0.6718,0.3282,2.0469
1690287600000,0.6707,0.3293,2.0367
1690287900000,0.671,0.329,2.0395
1690288200000,0.6717,0.3283,2.046
1690288500000,0.6721,0.3279,2.0497
1690288800000,0.6718,0.3282,2.0469
1690289100000,0.6715,0.3285,2.0441
1690289400000,0.6714,0.3286,2.0432
1690289700000,0.6711,0.3289,2.0404
1690290000000,0.6707,0.3293,2.0367
1690290300000,0.6706,0.3294,2.0358
1690290600000,0.6716,0.3284,2.0451
1690290900000,0.6719,0.3281,2.0479
1690291200000,0.6717,0.3283,2.046
1690291500000,0.6717,0.3283,2.046
1690291800000,0.6723,0.3277,2.0516
1690292100000,0.6725,0.3275,2.0534
1690292400000,0.673,0.327,2.0581
1690292700000,0.6718,0.3282,2.0469
1690293000000,0.6682,0.3318,2.0139
1690293300000,0.6679,0.3321,2.0111
1690293600000,0.6673,0.3327,2.0057
1690293900000,0.666,0.334,1.994
1690294200000,0.6655,0.3345,1.9895
1690294500000,0.6654,0.3346,1.9886
1690294800000,0.6659,0.3341,1.9931
1690295100000,0.6654,0.3346,1.9886
1690295400000,0.665,0.335,1.9851
1690295700000,0.6627,0.3373,1.9647
1690296000000,0.663,0.337,1.9674
1690296300000,0.663,0.337,1.9674
1690296600000,0.6626,0.3374,1.9638
1690296900000,0.6628,0.3372,1.9656
1690297200000,0.6633,0.3367,1.97
1690297500000,0.6643,0.3357,1.9789
1690297800000,0.6651,0.3349,1.986
1690298100000,0.665,0.335,1.9851
1690298400000,0.6656,0.3344,1.9904
1690298700000,0.666,0.334,1.994
1690299000000,0.6653,0.3347,1.9878
1690299300000,0.6649,0.3351,1.9842
